ID,Project ID,Controller,Module,IOChannel,SoftwareTag,PointDescription,InstallCheck1,InstallCheck2,InstallCheck3,CommCheck1,CommCheck2,Notes
521677,34,MSB2MSSB-MB-B1-03-CB,LV Gateway,CbSts,MSB2MSSB-MB-B1-03-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
521678,34,MSB2MSSB-MB-B1-03-CB,LV Gateway,CbTrip,MSB2MSSB-MB-B1-03-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
521679,34,MSB2MSSB-MB-B1-03-PM,NA,ActiveEngy,MSB2MSSB-MB-B1-03-PM_ActiveEngy,Active Energy kWh,Pass,Pass,Pass,Pass,Pass,
521680,34,MSB2MSSB-MB-B1-03-PM,NA,Ib,MSB2MSSB-MB-B1-03-PM_Ib,Phase B Current Amps,Pass,Pass,Pass,Pass,Pass,
521681,34,MSB2MSSB-MB-B1-03-PM,NA,Ic,MSB2MSSB-MB-B1-03-PM_Ic,Phase C Current Amps,Pass,Pass,Pass,Pass,Pass,
521682,34,MSB2MSSB-MB-B1-03-PM,NA,la,MSB2MSSB-MB-B1-03-PM_la,Phase A Current Amps,Pass,Pass,Pass,Pass,Pass,
521683,34,MSB2MSSB-MB-B1-03-PM,NA,PF,MSB2MSSB-MB-B1-03-PM_PF,Power Factor,Pass,Pass,Pass,Pass,Pass,
521684,34,MSB2MSSB-MB-B1-03-PM,NA,Ptot,MSB2MSSB-MB-B1-03-PM_Ptot,Total Power (kW),Pass,Pass,Pass,Pass,Pass,
521685,34,MSB2MSSB-MB-B1-03-PM,NA,RectiveEngy,MSB2MSSB-MB-B1-03-PM_RectiveEngy,Reactive Energy kVarh,Pass,Pass,Pass,Pass,Pass,
521686,34,MSB2MSSB-MB-B1-03-PM,NA,Vab,MSB2MSSB-MB-B1-03-PM_Vab,Phase-Phase A-B Voltage,Pass,Pass,Pass,Pass,Pass,
521687,34,MSB2MSSB-MB-B1-03-PM,NA,Van,MSB2MSSB-MB-B1-03-PM_Van,Phase-Neutral A-N Voltage,Pass,Pass,Pass,Pass,Pass,
521688,34,MSB2MSSB-MB-B1-03-PM,NA,Vbc,MSB2MSSB-MB-B1-03-PM_Vbc,Phase-Phase B-C Voltage,Pass,Pass,Pass,Pass,Pass,
521689,34,MSB2MSSB-MB-B1-03-PM,NA,Vbn,MSB2MSSB-MB-B1-03-PM_Vbn,Phase-Neutral B-N Voltage,Pass,Pass,Pass,Pass,Pass,
521690,34,MSB2MSSB-MB-B1-03-PM,NA,Vca,MSB2MSSB-MB-B1-03-PM_Vca,Phase-Phase C-A Voltage,Pass,Pass,Pass,Pass,Pass,
521691,34,MSB2MSSB-MB-B1-03-PM,NA,Vcn,MSB2MSSB-MB-B1-03-PM_Vcn,Phase-Neutral C-N Voltage,Pass,Pass,Pass,Pass,Pass,
521692,34,MSB2MSSB-MB-B1-04-CB,LV Gateway,CbSts,MSB2MSSB-MB-B1-04-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
521693,34,MSB2MSSB-MB-B1-04-CB,LV Gateway,CbTrip,MSB2MSSB-MB-B1-04-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
521694,34,MSB2MSSB-MB-B1-04-PM,NA,ActiveEngy,MSB2MSSB-MB-B1-04-PM_ActiveEngy,Active Energy kWh,Pass,Pass,Pass,Pass,Pass,
521695,34,MSB2MSSB-MB-B1-04-PM,NA,Ib,MSB2MSSB-MB-B1-04-PM_Ib,Phase B Current Amps,Pass,Pass,Pass,Pass,Pass,
521696,34,MSB2MSSB-MB-B1-04-PM,NA,Ic,MSB2MSSB-MB-B1-04-PM_Ic,Phase C Current Amps,Pass,Pass,Pass,Pass,Pass,
521697,34,MSB2MSSB-MB-B1-04-PM,NA,la,MSB2MSSB-MB-B1-04-PM_la,Phase A Current Amps,Pass,Pass,Pass,Pass,Pass,
521698,34,MSB2MSSB-MB-B1-04-PM,NA,PF,MSB2MSSB-MB-B1-04-PM_PF,Power Factor,Pass,Pass,Pass,Pass,Pass,
521699,34,MSB2MSSB-MB-B1-04-PM,NA,Ptot,MSB2MSSB-MB-B1-04-PM_Ptot,Total Power (kW),Pass,Pass,Pass,Pass,Pass,
521700,34,MSB2MSSB-MB-B1-04-PM,NA,RectiveEngy,MSB2MSSB-MB-B1-04-PM_RectiveEngy,Reactive Energy kVarh,Pass,Pass,Pass,Pass,Pass,
521701,34,MSB2MSSB-MB-B1-04-PM,NA,Vab,MSB2MSSB-MB-B1-04-PM_Vab,Phase-Phase A-B Voltage,Pass,Pass,Pass,Pass,Pass,
521702,34,MSB2MSSB-MB-B1-04-PM,NA,Van,MSB2MSSB-MB-B1-04-PM_Van,Phase-Neutral A-N Voltage,Pass,Pass,Pass,Pass,Pass,
521703,34,MSB2MSSB-MB-B1-04-PM,NA,Vbc,MSB2MSSB-MB-B1-04-PM_Vbc,Phase-Phase B-C Voltage,Pass,Pass,Pass,Pass,Pass,
521704,34,MSB2MSSB-MB-B1-04-PM,NA,Vbn,MSB2MSSB-MB-B1-04-PM_Vbn,Phase-Neutral B-N Voltage,Pass,Pass,Pass,Pass,Pass,
521705,34,MSB2MSSB-MB-B1-04-PM,NA,Vca,MSB2MSSB-MB-B1-04-PM_Vca,Phase-Phase C-A Voltage,Pass,Pass,Pass,Pass,Pass,
521706,34,MSB2MSSB-MB-B1-04-PM,NA,Vcn,MSB2MSSB-MB-B1-04-PM_Vcn,Phase-Neutral C-N Voltage,Pass,Pass,Pass,Pass,Pass,
472470,34,MSB2TDS-B-CB,LV Gateway,CbSts,MSB2TDS-B-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
472471,34,MSB2TDS-B-CB,LV Gateway,CbTrip,MSB2TDS-B-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
472472,34,MSB2TDS-B-PM,NA,ActiveEngy,MSB2TDS-B-PM_ActiveEngy,Active Energy kWh,Pass,Pass,Pass,Pass,Pass,
472473,34,MSB2TDS-B-PM,NA,Ib,MSB2TDS-B-PM_Ib,Phase B Current Amps,Pass,Pass,Pass,Pass,Pass,
472474,34,MSB2TDS-B-PM,NA,Ic,MSB2TDS-B-PM_Ic,Phase C Current Amps,Pass,Pass,Pass,Pass,Pass,
472475,34,MSB2TDS-B-PM,NA,la,MSB2TDS-B-PM_la,Phase A Current Amps,Pass,Pass,Pass,Pass,Pass,
472476,34,MSB2TDS-B-PM,NA,PF,MSB2TDS-B-PM_PF,Power Factor,Pass,Pass,Pass,Pass,Pass,
472477,34,MSB2TDS-B-PM,NA,Ptot,MSB2TDS-B-PM_Ptot,Total Power (kW),Pass,Pass,Pass,Pass,Pass,
