ID,Project ID,Controller,Module,IOChannel,SoftwareTag,PointDescription,InstallCheck1,InstallCheck2,InstallCheck3,CommCheck1,CommCheck2,Notes
521769,34,MSB3MaterialHoistB2toB3-PM,NA,PF,MSB3MaterialHoistB2toB3-PM_PF,Power Factor,Pass,Pass,Pass,Pass,Pass,
521770,34,MSB3MaterialHoistB2toB3-PM,NA,Ptot,MSB3MaterialHoistB2toB3-PM_Ptot,Total Power (kW),Pass,Pass,Pass,Pass,Pass,
521771,34,MSB3MaterialHoistB2toB3-PM,NA,RectiveEngy,MSB3MaterialHoistB2toB3-PM_RectiveEngy,Reactive Energy kVarh,Pass,Pass,Pass,Pass,Pass,
521772,34,MSB3MaterialHoistB2toB3-PM,NA,Vab,MSB3MaterialHoistB2toB3-PM_Vab,Phase-Phase A-B Voltage,Pass,Pass,Pass,Pass,Pass,
521773,34,MSB3MaterialHoistB2toB3-PM,NA,Van,MSB3MaterialHoistB2toB3-PM_Van,Phase-Neutral A-N Voltage,Pass,Pass,Pass,Pass,Pass,
521774,34,MSB3MaterialHoistB2toB3-PM,NA,Vbc,MSB3MaterialHoistB2toB3-PM_Vbc,Phase-Phase B-C Voltage,Pass,Pass,Pass,Pass,Pass,
521775,34,MSB3MaterialHoistB2toB3-PM,NA,Vbn,MSB3MaterialHoistB2toB3-PM_Vbn,Phase-Neutral B-N Voltage,Pass,Pass,Pass,Pass,Pass,
521776,34,MSB3MaterialHoistB2toB3-PM,NA,Vca,MSB3MaterialHoistB2toB3-PM_Vca,Phase-Phase C-A Voltage,Pass,Pass,Pass,Pass,Pass,
521777,34,MSB3MaterialHoistB2toB3-PM,NA,Vcn,MSB3MaterialHoistB2toB3-PM_Vcn,Phase-Neutral C-N Voltage,Pass,Pass,Pass,Pass,Pass,
521778,34,MSB3MB-B1-DB-03-CB,LV Gateway,CbSts,MSB3MB-B1-DB-03-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
